episode_idx,start_frame_skel,end_frame_skel,num_frames_skel,start_frame_video,end_frame_video,start_sec,end_sec,duration_sec_feat,twist_p95,twist_max,twist_ratio_over_20,flex_p95,flex_max,flex_ratio_20_60,flex_ratio_over_60
1,80,223,144,160,446,5.333333333333333,14.866666666666667,4.8,65.47638702392578,84.52365112304688,0.4097222222222222,9.39432430267334,10.634709358215332,0.0,0.0
2,336,431,96,672,862,22.4,28.733333333333334,3.2,36.14751052856445,46.79452896118164,0.2708333333333333,93.07383728027344,93.81790161132812,0.10416666666666667,0.17708333333333334
3,544,607,64,1088,1214,36.266666666666666,40.46666666666667,2.1333333333333333,62.46670150756836,89.0079345703125,0.4375,24.07872200012207,25.72161293029785,0.203125,0.0
4,720,783,64,1440,1566,48.0,52.2,2.1333333333333333,49.5510139465332,74.62596130371094,0.171875,11.0592041015625,11.443547248840332,0.0,0.0
5,864,927,64,1728,1854,57.6,61.8,2.1333333333333333,46.373958587646484,68.12921142578125,0.15625,11.76201343536377,12.164226531982422,0.0,0.0
6,960,1039,80,1920,2078,64.0,69.26666666666667,2.6666666666666665,79.39220428466797,87.36119079589844,0.5,86.75537872314453,91.4133529663086,0.125,0.1625
7,1168,1231,64,2336,2462,77.86666666666666,82.06666666666666,2.1333333333333333,75.15565490722656,84.49364471435547,0.359375,26.26293182373047,28.77703285217285,0.203125,0.0
8,1376,1455,80,2752,2910,91.73333333333333,97.0,2.6666666666666665,49.107303619384766,74.47245025634766,0.1625,72.7433090209961,82.5404281616211,0.175,0.1
9,1536,1615,80,3072,3230,102.4,107.66666666666667,2.6666666666666665,39.203407287597656,51.24741744995117,0.275,71.35291290283203,79.15830993652344,0.1875,0.1
10,1728,1807,80,3456,3614,115.2,120.46666666666667,2.6666666666666665,49.06105041503906,89.33019256591797,0.5,79.44988250732422,82.8150863647461,0.2875,0.225
11,1856,1919,64,3712,3838,123.73333333333333,127.93333333333334,2.1333333333333333,30.740982055664062,44.545326232910156,0.265625,73.95513916015625,79.62113952636719,0.390625,0.125
12,2176,2255,80,4352,4510,145.06666666666666,150.33333333333334,2.6666666666666665,81.68325805664062,89.20578002929688,0.3375,26.560203552246094,27.620012283325195,0.15,0.0
13,2336,2399,64,4672,4798,155.73333333333332,159.93333333333334,2.1333333333333333,53.59641647338867,73.21566009521484,0.3125,31.117069244384766,32.977237701416016,0.171875,0.0
14,2560,2623,64,5120,5246,170.66666666666666,174.86666666666667,2.1333333333333333,44.096309661865234,86.20320892333984,0.375,87.11224365234375,90.39325714111328,0.28125,0.171875
15,2672,2735,64,5344,5470,178.13333333333333,182.33333333333334,2.1333333333333333,48.46070861816406,63.3663330078125,0.1875,33.67681121826172,34.291656494140625,0.390625,0.0
