episode_idx,start_frame_skel,end_frame_skel,num_frames_skel,start_frame_video,end_frame_video,start_sec,end_sec,T,duration_sec,twist_p95,twist_max,twist_ratio_over_20,flex_p95,flex_max,flex_ratio_20_60,flex_ratio_over_60,hand_dist_p95,hand_ratio_far,arm_mid_ratio,arm_high_ratio,extra_score
1,80,223,144,160,446,5.333333333333333,14.866666666666667,144,4.8,65.47638702392578,84.52365112304688,0.4097222222222222,9.39432430267334,10.634709358215332,0.0,0.0,0.610390841960907,0.5902777777777778,0.013888888888888888,0.0,6.0
2,352,431,80,704,862,23.466666666666665,28.733333333333334,80,2.6666666666666665,36.957523345947266,46.79452896118164,0.325,93.32353210449219,93.81790161132812,0.125,0.2125,2.617668628692627,0.5875,0.0,0.0,6.0
3,576,607,32,1152,1214,38.4,40.46666666666667,32,1.0666666666666667,54.35028076171875,89.0079345703125,0.1875,25.09786033630371,25.72161293029785,0.40625,0.0,1.1678940057754517,0.75,0.0,0.0,4.0
4,720,783,64,1440,1566,48.0,52.2,64,2.1333333333333333,49.5510139465332,74.62596130371094,0.171875,11.0592041015625,11.443547248840332,0.0,0.0,0.6157507300376892,0.5,0.0,0.0,4.0
5,864,927,64,1728,1854,57.6,61.8,64,2.1333333333333333,46.373958587646484,68.12921142578125,0.15625,11.76201343536377,12.164226531982422,0.0,0.0,0.563102662563324,0.65625,0.0,0.0,4.0
6,1008,1039,32,2016,2078,67.2,69.26666666666667,32,1.0666666666666667,56.964508056640625,68.412353515625,0.625,89.85033416748047,91.4133529663086,0.3125,0.40625,2.6508378982543945,0.90625,0.0,0.0,6.0
7,1168,1231,64,2336,2462,77.86666666666666,82.06666666666666,64,2.1333333333333333,75.15565490722656,84.49364471435547,0.359375,26.26293182373047,28.77703285217285,0.203125,0.0,1.2017134428024292,0.71875,0.0,0.0,6.0
8,1376,1455,80,2752,2910,91.73333333333333,97.0,80,2.6666666666666665,49.107303619384766,74.47245025634766,0.1625,72.7433090209961,82.5404281616211,0.175,0.1,2.446800947189331,0.575,0.0,0.0,4.0
9,1536,1615,80,3072,3230,102.4,107.66666666666667,80,2.6666666666666665,39.203407287597656,51.24741744995117,0.275,71.35291290283203,79.15830993652344,0.1875,0.1,2.4143929481506348,0.625,0.0125,0.0,4.0
10,1728,1807,80,3456,3614,115.2,120.46666666666667,80,2.6666666666666665,49.06105041503906,89.33019256591797,0.5,79.44988250732422,82.8150863647461,0.2875,0.225,2.424346446990967,0.7125,0.0,0.0,6.0
11,1856,1903,48,3712,3806,123.73333333333333,126.86666666666666,48,1.6,32.37261199951172,44.545326232910156,0.2708333333333333,76.66244506835938,79.62113952636719,0.2916666666666667,0.16666666666666666,2.350282907485962,0.5625,0.0,0.0,4.0
12,2176,2255,80,4352,4510,145.06666666666666,150.33333333333334,80,2.6666666666666665,81.68325805664062,89.20578002929688,0.3375,26.560203552246094,27.620012283325195,0.15,0.0,1.3030598163604736,0.6125,0.0,0.0,6.0
13,2336,2399,64,4672,4798,155.73333333333332,159.93333333333334,64,2.1333333333333333,53.59641647338867,73.21566009521484,0.3125,31.117069244384766,32.977237701416016,0.171875,0.0,1.2966797351837158,0.65625,0.046875,0.0,6.0
14,2560,2623,64,5120,5246,170.66666666666666,174.86666666666667,64,2.1333333333333333,44.096309661865234,86.20320892333984,0.375,87.11224365234375,90.39325714111328,0.28125,0.171875,2.690355062484741,0.640625,0.0,0.0,6.0
15,2704,2735,32,5408,5470,180.26666666666668,182.33333333333334,32,1.0666666666666667,51.32735824584961,63.3663330078125,0.3125,23.309162139892578,23.72754669189453,0.40625,0.0,1.0714503526687622,0.71875,0.0,0.03125,6.0
