video_id,episode_idx,lift_start_frame,lift_end_frame,move_start_frame,move_end_frame,lower_start_frame,lower_end_frame,start_class4,end_class4,use_for_train,Unnamed: 11,Unnamed: 12
0,1,11,60,61,115,116,156,0,0,1,160.0,190.0
0,2,195,233,234,280,281,327,0,1,1,330.0,350.0
0,3,512,536,537,575,575,656,0,3,1,734.0,790.0
0,4,932,956,957,1027,1028,1069,0,2,1,1668.0,1760.0
0,5,1256,1296,1296,1342,1342,1381,1,0,1,1908.0,1948.0
0,6,1570,1592,1592,1640,1641,1667,1,1,1,2046.0,2130.0
0,7,1763,1790,1791,1842,1843,1887,1,3,1,3610.0,3700.0
0,8,2140,2172,2173,2210,2211,2275,1,2,1,5480.0,5530.0
0,9,2490,2561,2562,2605,2606,2644,3,0,1,,
0,10,3341,3389,3390,3425,3426,3469,3,1,1,,
0,11,3718,3777,3778,3811,3812,3874,3,3,1,,
0,12,4018,4087,4115,4143,4144,4220,3,2,1,,
0,13,4342,4395,4396,4468,4469,4510,2,0,1,,
0,14,4715,4766,4767,4804,4805,4842,2,1,1,,
0,15,5112,5150,5151,5187,5188,5249,2,2,1,,
0,16,5333,5390,5391,5425,5426,5470,2,3,1,,
1,2,465,538,539,575,576,639,0,1,1,124.0,286.0
1,3,858,912,913,960,961,1051,0,3,1,286.0,360.0
1,4,1265,1321,1322,1363,1364,1452,0,2,1,3044.0,3098.0
1,5,1665,1722,1723,1780,1781,1828,1,0,1,3816.0,3904.0
1,6,2055,2102,2103,2134,2135,2185,1,1,1,4926.0,5000.0
1,7,2234,2289,2290,2338,2339,2420,1,3,1,,
1,8,2750,2804,2805,2851,2852,2905,1,2,1,,
1,9,3173,3255,3256,3319,3320,3364,3,0,1,,
1,10,3917,3979,3980,4017,4018,4068,3,1,1,,
1,12,4730,4793,4794,4831,4832,4900,3,2,1,,
1,13,5055,5119,5120,5184,5185,5231,2,0,1,,
1,14,5503,5566,5567,5600,5601,5639,2,1,1,,
1,15,5863,5930,5931,5970,5971,6040,2,3,1,,
1,16,6120,6187,6188,6228,6229,6287,2,2,1,,
2,1,38,127,128,183,184,246,0,0,1,248.0,310.0
2,2,315,367,368,391,392,460,0,1,1,594.0,690.0
2,3,1682,1733,1734,1769,1770,1876,0,3,1,799.0,850.0
2,4,2320,2371,2372,2457,2458,2612,0,2,1,2000.0,2060.0
2,5,3313,3398,3399,3445,3446,3508,1,0,1,2118.0,2316.0
2,6,3970,4026,4027,4050,4051,4112,1,1,1,3216.0,3270.0
2,7,4202,4290,4291,4317,4318,4437,1,3,1,3780.0,3918.0
2,9,5484,5560,5561,5656,5657,5706,3,0,1,4118.0,4190.0
2,10,6115,6192,6193,6295,6296,6355,3,1,1,6626.0,6685.0
2,11,6702,6768,6769,6804,6805,6887,3,3,1,,
2,12,7014,7071,7096,7112,7113,7202,3,2,1,,
2,13,7306,7391,7392,7433,7434,7480,2,0,1,,
2,14,7923,8021,8022,8054,8055,8113,2,1,1,,
2,16,8665,8745,8746,8785,8786,8869,2,3,1,,
3,1,10,69,70,129,130,165,0,0,1,522.0,614.0
3,2,233,295,296,337,338,385,0,1,1,740.0,780.0
3,3,848,940,941,978,979,1064,0,3,1,1764.0,1798.0
3,4,1239,1305,1306,1338,1339,1418,0,2,1,4010.0,4058.0
3,5,1623,1675,1676,1706,1707,1760,1,0,1,4260.0,4310.0
3,6,1985,2026,2027,2051,2052,2111,1,1,1,,
3,7,2171,2250,2251,2292,2293,2369,1,3,1,,
3,8,2563,2623,2624,2654,2655,2734,1,2,1,,
3,9,2831,2889,2890,2974,2975,3026,3,0,1,,
3,10,3404,3457,3458,3501,3502,3544,3,1,1,,
3,11,3845,3902,3908,3947,3948,4003,3,3,1,,
3,12,4087,4138,4139,4184,4185,4240,3,2,1,,
3,13,4318,4371,4372,4433,4434,4479,2,0,1,,
3,14,4754,4826,4827,4872,4873,4916,2,1,1,,
3,15,5185,5234,5235,5274,5275,5330,2,3,1,,
3,16,5416,5464,5465,5499,5500,5543,2,2,1,,
4,1,94,180,181,258,259,308,0,0,1,,
4,2,364,388,389,458,459,505,0,1,1,506.0,538.0
4,3,798,854,855,950,951,1013,0,3,1,1023.0,1056.0
4,4,1374,1408,1409,1460,1461,1519,0,2,1,1164.0,1200.0
4,5,1951,1988,1989,2058,2059,2090,1,0,1,1258.0,1360.0
4,6,2384,2425,2426,2487,2488,2524,1,1,1,1284.0,1350.0
4,7,2666,2700,2701,2750,2751,2802,1,3,1,1820.0,1900.0
4,8,3205,3252,3253,3307,3308,3352,1,2,1,1900.0,1944.0
4,9,3775,3827,3828,3897,3898,3934,3,0,1,2554.0,2660.0
4,10,4644,4689,4690,4745,4746,4775,3,1,1,3014.0,3174.0
4,11,5204,5242,5243,5294,5295,5349,3,3,1,3546.0,3676.0
4,12,5465,5506,5507,5570,5571,5620,3,2,1,4204.0,4314.0
4,13,5687,5737,5738,5806,5807,5845,2,0,1,4786.0,4842.0
4,14,6169,6204,6205,6268,6269,6301,2,1,1,,
4,15,6613,6650,6651,6720,6721,6765,2,3,1,,
4,16,6869,6905,6930,6970,6971,7015,2,2,1,,
5,1,124,154,155,230,231,261,0,0,1,24.0,86.0
5,2,315,340,341,406,407,440,0,1,1,464.0,486.0
5,3,683,715,716,771,772,808,0,3,1,3606.0,3644.0
5,4,1020,1054,1065,1107,1108,1143,0,2,1,4718.0,4990.0
5,5,1899,2005,2006,2051,2052,2081,1,0,1,,
5,6,2286,2313,2314,2350,2351,2386,1,1,1,,
5,7,2499,2531,2532,2564,2565,2604,1,3,1,,
5,8,2815,2836,2837,2876,2877,2915,1,2,1,,
5,9,3209,3247,3248,3289,3290,3323,3,0,1,,
5,10,3478,3511,3512,3548,3549,3579,3,1,1,,
5,11,3786,3814,3815,3853,3854,3885,3,3,1,,
5,12,4570,4618,4619,4658,4659,4701,3,2,1,,
5,13,5011,5047,5048,5087,5088,5120,2,0,1,,
5,14,5376,5416,5417,5458,5459,5490,2,1,1,,
5,15,5828,5858,5859,5901,5902,5930,2,3,1,,
5,16,6055,6084,6085,6132,6133,6165,2,2,1,,
6,1,22,86,87,170,171,236,0,0,1,4568.0,4650.0
6,2,277,367,368,426,427,464,0,1,1,,
6,3,785,880,881,953,954,1102,0,3,1,,
6,4,1452,1508,1509,1577,1578,1663,0,2,1,,
6,5,2220,2255,2256,2338,2339,2398,1,0,1,,
6,6,2917,2945,2946,3001,3002,3044,1,1,1,,
6,7,3077,3130,3131,3206,3207,3278,1,3,1,,
6,8,3681,3730,3731,3789,3790,3886,1,2,1,,
6,9,4239,4297,4308,4387,4388,4448,3,0,1,,
