video_id,lift_start_frame,lift_end_frame,class_id
0,11,60,1
0,195,233,1
0,512,536,1
0,932,956,1
0,1256,1296,2
0,1570,1592,2
0,1763,1790,2
0,2140,2172,2
0,2490,2561,4
0,3341,3389,4
0,3718,3777,4
0,4018,4087,4
0,4342,4395,3
0,4715,4766,3
0,5112,5150,3
0,5333,5390,3
1,465,538,1
1,858,912,1
1,1265,1321,1
1,1665,1722,2
1,2055,2102,2
1,2234,2289,2
1,2750,2804,2
1,3173,3255,4
1,3917,3979,4
1,4730,4793,4
1,5055,5119,3
1,5503,5566,3
1,5863,5930,3
1,6120,6187,3
2,38,127,1
2,315,367,1
2,1682,1733,1
2,2320,2371,1
2,3313,3398,2
2,3970,4026,2
2,4202,4290,2
2,5484,5560,4
2,6115,6192,4
2,6702,6768,4
2,7014,7071,4
2,7306,7391,3
2,7923,8021,3
2,8665,8745,3
3,10,69,1
3,233,295,1
3,848,940,1
3,1239,1305,1
3,1623,1675,2
3,1985,2026,2
3,2171,2250,2
3,2563,2623,2
3,2831,2889,4
3,3404,3457,4
3,3845,3902,4
3,4087,4138,4
3,4318,4371,3
3,4754,4826,3
3,5185,5234,3
3,5416,5464,3
4,94,180,1
4,364,388,1
4,798,854,1
4,1374,1408,1
4,1951,1988,2
4,2384,2425,2
4,2666,2700,2
4,3205,3252,2
4,3775,3827,4
4,4644,4689,4
4,5204,5242,4
4,5465,5506,4
4,5687,5737,3
4,6169,6204,3
4,6613,6650,3
4,6869,6905,3
5,124,154,1
5,315,340,1
5,683,715,1
5,1020,1054,1
5,1899,2005,2
5,2286,2313,2
5,2499,2531,2
5,2815,2836,2
5,3209,3247,4
5,3478,3511,4
5,3786,3814,4
5,4570,4618,4
5,5011,5047,3
5,5376,5416,3
5,5828,5858,3
5,6055,6084,3
6,22,86,1
6,277,367,1
6,785,880,1
6,1452,1508,1
6,2220,2255,2
6,2917,2945,2
6,3077,3130,2
6,3681,3730,2
6,4239,4297,4
6,4840,4919,4
6,5336,5460,4
6,6051,6130,4
6,6550,6595,3
6,6853,6899,3
6,7258,7306,3
6,7465,7503,3
7,18,40,1
7,319,347,1
7,801,829,1
7,1148,1179,1
7,1670,1710,2
7,1979,2015,2
7,2219,2244,2
7,2658,2692,2
7,3245,3292,4
7,3651,3698,4
7,4112,4159,4
7,4417,4466,4
7,4748,4782,3
7,5127,5165,3
7,5570,5608,3
7,5764,5807,3
8,25,59,1
8,250,285,1
8,943,965,1
8,1793,1816,1
8,2153,2192,2
8,2402,2438,2
8,2583,2624,2
8,3760,3794,2
8,4192,4236,4
8,4541,4577,4
8,5590,5630,4
8,5937,5970,4
8,6309,6338,3
8,6611,6636,3
8,6926,6960,3
8,7182,7209,3
9,155,191,1
9,479,508,1
9,996,1020,1
9,1380,1406,1
9,1974,2002,2
9,2290,2327,2
9,2492,2522,2
9,2835,2871,2
9,3437,3474,4
9,3750,3800,4
9,4130,4180,4
9,4410,4457,4
9,4749,4788,3
9,5122,5166,3
9,5478,5511,3
9,5704,5738,3
10,37,67,1
10,230,255,1
10,835,867,1
10,1242,1282,1
10,1767,1824,2
10,2122,2147,2
10,2313,2390,2
10,2768,2792,2
10,4039,4078,4
10,4607,4651,4
10,5051,5088,4
10,5391,5426,3
10,5825,5853,3
10,6240,6273,3
10,6505,6541,3
11,139,175,1
11,365,401,1
11,726,784,1
11,1108,1148,1
11,1760,1790,2
11,2163,2198,2
11,2383,2420,2
11,2945,2974,2
11,3502,3543,4
11,3928,3972,4
11,4431,4471,4
11,4755,4790,4
11,5353,5395,3
11,5720,5763,3
11,6151,6195,3
11,6471,6517,3
12,35,81,1
12,275,306,1
12,838,873,1
12,1364,1396,1
12,2200,2233,2
12,2581,2617,2
12,2824,2853,2
12,3343,3385,2
12,3916,3983,4
12,4343,4400,4
12,4897,4975,4
12,5330,5372,4
12,5700,5737,3
12,6245,6285,3
12,7090,7138,3
12,7555,7598,3
13,24,52,1
13,201,234,1
13,584,625,1
13,940,993,1
13,1395,1420,2
13,1728,1770,2
13,1943,1982,2
13,2296,2323,2
13,2627,2667,4
13,2934,2972,4
13,3305,3345,4
13,3562,3595,4
13,3909,3945,3
13,4177,4232,3
13,4504,4571,3
13,4789,4831,3
14,28,57,1
14,495,517,1
14,840,897,1
14,1404,1432,1
14,1948,1975,2
14,2306,2333,2
14,2564,2590,2
14,2961,2990,2
14,3447,3499,4
14,3831,3879,4
14,4560,4608,4
14,5004,5049,4
14,5451,5507,3
14,5889,5935,3
14,6386,6439,3
14,6655,6695,3
15,15,50,1
15,225,263,1
15,541,567,1
15,902,933,1
15,1274,1308,2
15,1603,1630,2
15,1763,1795,2
15,2091,2129,2
15,2455,2496,4
15,2814,2849,4
15,3156,3195,4
15,3379,3415,4
15,3658,3702,3
15,4052,4096,3
15,4484,4522,3
15,4697,4737,3
16,150,173,1
16,337,361,1
16,681,722,1
16,1102,1137,1
16,1442,1471,2
16,1730,1752,2
16,1935,1974,2
16,2344,2368,2
16,2759,2796,4
16,3079,3115,4
16,3463,3500,4
16,3727,3760,4
16,4369,4395,3
16,4667,4694,3
16,5120,5152,3
16,5337,5373,3
17,93,175,1
17,370,394,1
17,909,948,1
17,1493,1553,1
17,2151,2199,2
17,2551,2584,2
17,2789,2831,2
17,3277,3323,2
17,3784,3844,4
17,4180,4222,4
17,4616,4665,4
17,4905,4940,4
17,5307,5348,3
17,5709,5757,3
17,6171,6220,3
17,6465,6513,3
18,69,96,1
18,252,275,1
18,821,849,1
18,1151,1175,1
18,1714,1764,2
18,2010,2038,2
18,2460,2493,2
18,2821,2865,2
18,3227,3267,4
18,3670,3708,4
18,4035,4083,4
18,4312,4364,4
18,4690,4728,3
18,5005,5046,3
18,5319,5364,3
18,5549,5591,3
19,60,83,1
19,279,306,1
