Perturbation,Intensity,Transformer,GRU_33J,GRU_13J,ST_GCN
Gaussian Noise,0.0,97.67441860465115,96.51162790697676,96.12403100775194,96.51162790697676
Gaussian Noise,0.005,97.67441860465115,96.89922480620154,96.12403100775194,96.51162790697676
Gaussian Noise,0.01,97.67441860465115,96.51162790697676,95.73643410852713,96.51162790697676
Gaussian Noise,0.02,97.67441860465115,96.51162790697676,96.51162790697676,96.12403100775194
Gaussian Noise,0.05,97.67441860465115,94.96124031007753,94.18604651162791,96.12403100775194
Gaussian Noise,0.1,98.06201550387597,94.18604651162791,94.57364341085271,96.51162790697676
Random Joint Occlusion,0.0,97.67441860465115,96.51162790697676,96.12403100775194,96.51162790697676
Random Joint Occlusion,1.0,94.96124031007753,94.96124031007753,93.7984496124031,92.63565891472868
Random Joint Occlusion,2.0,96.12403100775194,65.50387596899225,61.627906976744185,71.31782945736434
Random Joint Occlusion,3.0,77.51937984496125,64.72868217054264,62.7906976744186,73.64341085271317
Random Joint Occlusion,4.0,79.84496124031007,64.72868217054264,65.11627906976744,51.55038759689923
Random Joint Occlusion,5.0,75.96899224806202,65.50387596899225,64.72868217054264,45.73643410852713
Wrist Occlusion,2.0,65.89147286821705,96.12403100775194,81.3953488372093,90.69767441860465
Knee Occlusion,2.0,86.04651162790698,94.18604651162791,90.31007751937985,76.74418604651163
